id,source_language,source_document,source_text,reference_translation,baseline_translation,finetuned_translation,iks_translation,iks_validation_status,iks_validation_confidence,val_translation_quality,val_semantic_consistency,val_iks_preservation,val_context_preservation,val_historical_consistency,val_unsupported_additions,val_missing_meaning
IKS003440,Tamil,Inna Narpathu,"கேள்வி பெரிய தரும்
கல்வி தரும் இளமை.",Possessing noble/great listening gives/bestows; this gives/bestows youth through learning.,"[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி பெரிய தரும்
கல்வி தரும்...'","[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி பெரிய தரும்
கல்வி தரும்...'","[Mock Translation (Tamil -> English)]: Translated version of 'கேள்வி பெரிய தரும்
கல்வி தரும்...' (Contextual meaning: Social righteousness, virtue, and ethical conduct in daily life.)",REVIEW,0.45,0.64,0.0,0.14,0.0,1.0,1.0,1.0
IKS001403,Tamil,Thirukkural,"செல்வம் தீய நாடு வளர்க்கும்
அருள் உடையார் அன்பு செய்யும்.",Prosperity of the wicked/harmful who have nation nurtures/grows; the possessing grace accomplishes/does love.,"[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் தீய நாடு வளர்க்கும்
அர...'","[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் தீய நாடு வளர்க்கும்
அர...'","[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் தீய நாடு வளர்க்கும்
அர...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS003164,Tamil,Pathitrupathu,"தண் கடல் சேர்ப்பன் உள்ளம் தர
பெரிய நெஞ்சே விளைக்கும் மாலை
செல்வம் வரும் வழி.","As the lord of the cool shore gives mind, the noble/great heart yields/produces in the evening, waiting for prosperity.","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் உள்ளம் தர
ப...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் உள்ளம் தர
ப...'","[Mock Translation (Tamil -> English)]: Translated version of 'தண் கடல் சேர்ப்பன் உள்ளம் தர
ப...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS001434,Tamil,Thirukkural,"வாய்மை தீய உள்ளம் தரும்
இன்பம் சிறிய பொருள் செய்யும்.",Truth of the wicked/harmful who have mind gives/bestows; the base/lowly pleasure accomplishes/does wealth.,"[Mock Translation (Tamil -> English)]: Translated version of 'வாய்மை தீய உள்ளம் தரும்
இன்பம்...'","[Mock Translation (Tamil -> English)]: Translated version of 'வாய்மை தீய உள்ளம் தரும்
இன்பம்...'","[Mock Translation (Tamil -> English)]: Translated version of 'வாய்மை தீய உள்ளம் தரும்
இன்பம்...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS001227,Tamil,Thirukkural,"தவம் இல்லார் கல்வி வளர்க்கும்
மன்னன் உடையார் கேள்வி வளர்க்கும்.",Penance of the lacking who have learning nurtures/grows; the possessing king nurtures/grows listening.,"[Mock Translation (Tamil -> English)]: Translated version of 'தவம் இல்லார் கல்வி வளர்க்கும்
...'","[Mock Translation (Tamil -> English)]: Translated version of 'தவம் இல்லார் கல்வி வளர்க்கும்
...'","[Mock Translation (Tamil -> English)]: Translated version of 'தவம் இல்லார் கல்வி வளர்க்கும்
...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS000699,Tamil,Thirukkural,"அறம் இனிய அன்பு செய்யும்
நாடு தீய ஈகை விளைக்கும்.",Virtue of the sweet/pleasant who have love accomplishes/does; the wicked/harmful nation yields/produces giving.,"[Mock Translation (Tamil -> English)]: Translated version of 'அறம் இனிய அன்பு செய்யும்
நாடு ...'","[Mock Translation (Tamil -> English)]: Translated version of 'அறம் இனிய அன்பு செய்யும்
நாடு ...'","[Mock Translation (Tamil -> English)]: Translated version of 'அறம் இனிய அன்பு செய்யும்
நாடு ...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS002952,Tamil,Silappathikaram,"உடையார் யாக்கை தரும் நகரில்
தீய இன்பம் கெடுக்கும் மாந்தர்.","In the city where possessing body gives/bestows, the wicked/harmful people destroys/ruins pleasure.","[Mock Translation (Tamil -> English)]: Translated version of 'உடையார் யாக்கை தரும் நகரில்
தீ...'","[Mock Translation (Tamil -> English)]: Translated version of 'உடையார் யாக்கை தரும் நகரில்
தீ...'","[Mock Translation (Tamil -> English)]: Translated version of 'உடையார் யாக்கை தரும் நகரில்
தீ...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS001899,Tamil,Naladiyar,"அறம் சிறிய காக்கும்
நாடு விளைக்கும் மன்னன்.",Possessing base/lowly virtue protects/guards; this yields/produces king through nation.,"[Mock Translation (Tamil -> English)]: Translated version of 'அறம் சிறிய காக்கும்
நாடு விளைக...'","[Mock Translation (Tamil -> English)]: Translated version of 'அறம் சிறிய காக்கும்
நாடு விளைக...'","[Mock Translation (Tamil -> English)]: Translated version of 'அறம் சிறிய காக்கும்
நாடு விளைக...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS002231,Tamil,Purananuru,"வேல் கொண்டு வென்றான் அறிவு
கொடை தரும் இல்லார் கேள்வி
மன்னன் புகழ் விளைக்கும் உலகு.","Winning with the spear, wisdom is established; the lacking listening gives charity, and the king's glory yields/produces the world.","[Mock Translation (Tamil -> English)]: Translated version of 'வேல் கொண்டு வென்றான் அறிவு
கொ...'","[Mock Translation (Tamil -> English)]: Translated version of 'வேல் கொண்டு வென்றான் அறிவு
கொ...'","[Mock Translation (Tamil -> English)]: Translated version of 'வேல் கொண்டு வென்றான் அறிவு
கொ...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS000932,Tamil,Thirukkural,"யாக்கை இல்லார் ஈகை தரும்
அறம் சிறிய கேள்வி கெடுக்கும்.",Body of the lacking who have giving gives/bestows; the base/lowly virtue destroys/ruins listening.,"[Mock Translation (Tamil -> English)]: Translated version of 'யாக்கை இல்லார் ஈகை தரும்
அறம் ...'","[Mock Translation (Tamil -> English)]: Translated version of 'யாக்கை இல்லார் ஈகை தரும்
அறம் ...'","[Mock Translation (Tamil -> English)]: Translated version of 'யாக்கை இல்லார் ஈகை தரும்
அறம் ...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
IKS003083,Tamil,Tolkappiyam,"இன்பம் சிறந்த சேர்க்கும்
இன்பம் வளர்க்கும்.",The rule of pleasure which is excellent gathers/unites; this leads to pleasure which nurtures/grows.,"[Mock Translation (Tamil -> English)]: Translated version of 'இன்பம் சிறந்த சேர்க்கும்
இன்பம...'","[Mock Translation (Tamil -> English)]: Translated version of 'இன்பம் சிறந்த சேர்க்கும்
இன்பம...'","[Mock Translation (Tamil -> English)]: Translated version of 'இன்பம் சிறந்த சேர்க்கும்
இன்பம...' (Contextual meaning: Social righteousness, virtue, and ethical conduct in daily life.)",REVIEW,0.44,0.63,0.0,0.15,0.0,1.0,0.87,1.0
IKS002051,Tamil,Pazhamozhi Naanooru,"செல்வம் சிறந்த வளர்க்கும்
ஈகை செய்யும் நட்பு.",Possessing excellent prosperity nurtures/grows; this accomplishes/does friendship through giving.,"[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் சிறந்த வளர்க்கும்
ஈகை ...'","[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் சிறந்த வளர்க்கும்
ஈகை ...'","[Mock Translation (Tamil -> English)]: Translated version of 'செல்வம் சிறந்த வளர்க்கும்
ஈகை ...'",PASS,0.88,0.5,0.9,1.0,1.0,1.0,1.0,1.0
IKS002169,Tamil,Pazhamozhi Naanooru,"அறம் உடையார் ஒழிக்கும்
ஒழுக்கம் உய்க்கும் யாக்கை.",Possessing possessing virtue removes/dispels; this guides/elevates body through conduct.,"[Mock Translation (Tamil -> English)]: Translated version of 'அறம் உடையார் ஒழிக்கும்
ஒழுக்கம...'","[Mock Translation (Tamil -> English)]: Translated version of 'அறம் உடையார் ஒழிக்கும்
ஒழுக்கம...'","[Mock Translation (Tamil -> English)]: Translated version of 'அறம் உடையார் ஒழிக்கும்
ஒழுக்கம...'",PASS,0.73,0.5,0.9,0.0,1.0,1.0,1.0,1.0
